MAF3.0信号,MAF3.0信号,信号名称,共享内存内部信号,取值范围 单位 DBC名称,理论值factor,理论值offset,MAF获取理论值真值,MAF获取理论值,允许误差%,0不测试 1测试,0：上行 1：下行,发送信号值,发送信号值,发送信号值
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[15],cm,0.01,0,0.15,Senddata * Factor + Offset,0,1,0,15,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[16],cm,0.01,0,0.16,Senddata * Factor + Offset,0,1,0,16,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[17],cm,0.01,0,0.17,Senddata * Factor + Offset,0,1,0,17,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[18],cm,0.01,0,0.18,Senddata * Factor + Offset,0,1,0,18,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[19],cm,0.01,0,0.19,Senddata * Factor + Offset,0,1,0,19,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[0],cm,0.01,0,0.4,Senddata * Factor + Offset,0,1,0,40,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[1],cm,0.01,0,0.41,Senddata * Factor + Offset,0,1,0,41,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[2],cm,0.01,0,0.42,Senddata * Factor + Offset,0,1,0,42,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[3],cm,0.01,0,0.43,Senddata * Factor + Offset,0,1,0,43,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[4],cm,0.01,0,0.44,Senddata * Factor + Offset,0,1,0,44,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[5],cm,0.01,0,0.45,Senddata * Factor + Offset,0,1,0,45,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[6],cm,0.01,0,0.46,Senddata * Factor + Offset,0,1,0,46,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[7],cm,0.01,0,0.47,Senddata * Factor + Offset,0,1,0,47,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[8],cm,0.01,0,0.48,Senddata * Factor + Offset,0,1,0,48,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[9],cm,0.01,0,0.49,Senddata * Factor + Offset,0,1,0,49,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[10],cm,0.01,0,0,Senddata * Factor + Offset,0,1,0,0,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[11],cm,0.01,0,0.01,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[12],cm,0.01,0,0.02,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[13],cm,0.01,0,0.03,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[14],cm,0.01,0,0.04,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[15],cm,0.01,0,0.05,Senddata * Factor + Offset,0,1,0,5,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[16],cm,0.01,0,0.06,Senddata * Factor + Offset,0,1,0,6,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[17],cm,0.01,0,0.07,Senddata * Factor + Offset,0,1,0,7,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[18],cm,0.01,0,0.08,Senddata * Factor + Offset,0,1,0,8,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj2_y,车位第2点y坐标,parkslot_obj2_y[19],cm,0.01,0,0.09,Senddata * Factor + Offset,0,1,0,9,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[0],cm,0.01,0,0.4,Senddata * Factor + Offset,0,1,0,40,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[1],cm,0.01,0,0.41,Senddata * Factor + Offset,0,1,0,41,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[2],cm,0.01,0,0.42,Senddata * Factor + Offset,0,1,0,42,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[3],cm,0.01,0,0.43,Senddata * Factor + Offset,0,1,0,43,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[4],cm,0.01,0,0.44,Senddata * Factor + Offset,0,1,0,44,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[5],cm,0.01,0,0.45,Senddata * Factor + Offset,0,1,0,45,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[6],cm,0.01,0,0.46,Senddata * Factor + Offset,0,1,0,46,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[7],cm,0.01,0,0.47,Senddata * Factor + Offset,0,1,0,47,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[8],cm,0.01,0,0.48,Senddata * Factor + Offset,0,1,0,48,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[9],cm,0.01,0,0.49,Senddata * Factor + Offset,0,1,0,49,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[10],cm,0.01,0,0.5,Senddata * Factor + Offset,0,1,0,50,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[11],cm,0.01,0,0.51,Senddata * Factor + Offset,0,1,0,51,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[12],cm,0.01,0,0.52,Senddata * Factor + Offset,0,1,0,52,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[13],cm,0.01,0,0.53,Senddata * Factor + Offset,0,1,0,53,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[14],cm,0.01,0,0.54,Senddata * Factor + Offset,0,1,0,54,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[15],cm,0.01,0,0.55,Senddata * Factor + Offset,0,1,0,55,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[16],cm,0.01,0,0.56,Senddata * Factor + Offset,0,1,0,56,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[17],cm,0.01,0,0.57,Senddata * Factor + Offset,0,1,0,57,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[18],cm,0.01,0,0.58,Senddata * Factor + Offset,0,1,0,58,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj3_x,车位第3点x坐标,parkslot_obj3_x[19],cm,0.01,0,0.59,Senddata * Factor + Offset,0,1,0,59,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[0],cm,0.01,0,0.8,Senddata * Factor + Offset,0,1,0,80,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[1],cm,0.01,0,0.81,Senddata * Factor + Offset,0,1,0,81,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[2],cm,0.01,0,0.82,Senddata * Factor + Offset,0,1,0,82,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[3],cm,0.01,0,0.83,Senddata * Factor + Offset,0,1,0,83,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[4],cm,0.01,0,0.84,Senddata * Factor + Offset,0,1,0,84,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[5],cm,0.01,0,0.85,Senddata * Factor + Offset,0,1,0,85,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[6],cm,0.01,0,0.86,Senddata * Factor + Offset,0,1,0,86,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[7],cm,0.01,0,0.87,Senddata * Factor + Offset,0,1,0,87,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[8],cm,0.01,0,0.88,Senddata * Factor + Offset,0,1,0,88,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[9],cm,0.01,0,0.89,Senddata * Factor + Offset,0,1,0,89,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[10],cm,0.01,0,0.4,Senddata * Factor + Offset,0,1,0,40,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[11],cm,0.01,0,0.41,Senddata * Factor + Offset,0,1,0,41,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[12],cm,0.01,0,0.42,Senddata * Factor + Offset,0,1,0,42,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[13],cm,0.01,0,0.43,Senddata * Factor + Offset,0,1,0,43,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[14],cm,0.01,0,0.44,Senddata * Factor + Offset,0,1,0,44,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[15],cm,0.01,0,0.45,Senddata * Factor + Offset,0,1,0,45,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[16],cm,0.01,0,0.46,Senddata * Factor + Offset,0,1,0,46,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[17],cm,0.01,0,0.47,Senddata * Factor + Offset,0,1,0,47,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[18],cm,0.01,0,0.48,Senddata * Factor + Offset,0,1,0,48,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj3_y,车位第3点y坐标,parkslot_obj3_y[19],cm,0.01,0,0.49,Senddata * Factor + Offset,0,1,0,49,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[0],cm,0.01,0,0.4,Senddata * Factor + Offset,0,1,0,40,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[1],cm,0.01,0,0.41,Senddata * Factor + Offset,0,1,0,41,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[2],cm,0.01,0,0.42,Senddata * Factor + Offset,0,1,0,42,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[3],cm,0.01,0,0.43,Senddata * Factor + Offset,0,1,0,43,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[4],cm,0.01,0,0.44,Senddata * Factor + Offset,0,1,0,44,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[5],cm,0.01,0,0.45,Senddata * Factor + Offset,0,1,0,45,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[6],cm,0.01,0,0.46,Senddata * Factor + Offset,0,1,0,46,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[7],cm,0.01,0,0.47,Senddata * Factor + Offset,0,1,0,47,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[8],cm,0.01,0,0.48,Senddata * Factor + Offset,0,1,0,48,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[9],cm,0.01,0,0.49,Senddata * Factor + Offset,0,1,0,49,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[10],cm,0.01,0,0.5,Senddata * Factor + Offset,0,1,0,50,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[11],cm,0.01,0,0.51,Senddata * Factor + Offset,0,1,0,51,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[12],cm,0.01,0,0.52,Senddata * Factor + Offset,0,1,0,52,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[13],cm,0.01,0,0.53,Senddata * Factor + Offset,0,1,0,53,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[14],cm,0.01,0,0.54,Senddata * Factor + Offset,0,1,0,54,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[15],cm,0.01,0,0.55,Senddata * Factor + Offset,0,1,0,55,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[16],cm,0.01,0,0.56,Senddata * Factor + Offset,0,1,0,56,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[17],cm,0.01,0,0.57,Senddata * Factor + Offset,0,1,0,57,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[18],cm,0.01,0,0.58,Senddata * Factor + Offset,0,1,0,58,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj4_x,车位第4点x坐标,parkslot_obj4_x[19],cm,0.01,0,0.59,Senddata * Factor + Offset,0,1,0,59,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[0],cm,0.01,0,0.6,Senddata * Factor + Offset,0,1,0,60,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[1],cm,0.01,0,0.61,Senddata * Factor + Offset,0,1,0,61,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[2],cm,0.01,0,0.62,Senddata * Factor + Offset,0,1,0,62,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[3],cm,0.01,0,0.63,Senddata * Factor + Offset,0,1,0,63,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[4],cm,0.01,0,0.64,Senddata * Factor + Offset,0,1,0,64,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[5],cm,0.01,0,0.65,Senddata * Factor + Offset,0,1,0,65,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[6],cm,0.01,0,0.66,Senddata * Factor + Offset,0,1,0,66,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[7],cm,0.01,0,0.67,Senddata * Factor + Offset,0,1,0,67,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[8],cm,0.01,0,0.68,Senddata * Factor + Offset,0,1,0,68,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj4_y ,车位第4点y坐标,parkslot_obj4_y[9],cm,0.01,0,0.69,Senddata * Factor + Offset,0,1,0,69,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[10],cm,0.01,0,0.7,Senddata * Factor + Offset,0,1,0,70,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[11],cm,0.01,0,0.71,Senddata * Factor + Offset,0,1,0,71,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[12],cm,0.01,0,0.72,Senddata * Factor + Offset,0,1,0,72,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[13],cm,0.01,0,0.73,Senddata * Factor + Offset,0,1,0,73,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[14],cm,0.01,0,0.74,Senddata * Factor + Offset,0,1,0,74,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[15],cm,0.01,0,0.75,Senddata * Factor + Offset,0,1,0,75,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[16],cm,0.01,0,0.76,Senddata * Factor + Offset,0,1,0,76,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[17],cm,0.01,0,0.77,Senddata * Factor + Offset,0,1,0,77,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[18],cm,0.01,0,0.78,Senddata * Factor + Offset,0,1,0,78,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj4_y,车位第4点y坐标,parkslot_obj4_y[19],cm,0.01,0,0.79,Senddata * Factor + Offset,0,1,0,79,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_start_X,障碍物0起始坐标x轴 ,obstacle_start_x[0],cm,0.01,0,0,Senddata * Factor + Offset,0,1,0,0,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_start_X,障碍物1起始坐标x轴 ,obstacle_start_x[1],cm,0.01,0,0.01,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_start_X,障碍物2起始坐标x轴 ,obstacle_start_x[2],cm,0.01,0,0.02,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_start_X,障碍物3起始坐标x轴 ,obstacle_start_x[3],cm,0.01,0,0.03,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_start_X,障碍物4起始坐标x轴 ,obstacle_start_x[4],cm,0.01,0,0.04,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_start_X,障碍物5起始坐标x轴 ,obstacle_start_x[5],cm,0.01,0,0.05,Senddata * Factor + Offset,0,1,0,5,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_start_X,障碍物6起始坐标x轴 ,obstacle_start_x[6],cm,0.01,0,0.06,Senddata * Factor + Offset,0,1,0,6,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_start_X,障碍物7起始坐标x轴 ,obstacle_start_x[7],cm,0.01,0,0.07,Senddata * Factor + Offset,0,1,0,7,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_start_X,障碍物8起始坐标x轴 ,obstacle_start_x[8],cm,0.01,0,0.08,Senddata * Factor + Offset,0,1,0,8,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_start_X,障碍物9起始坐标x轴 ,obstacle_start_x[9],cm,0.01,0,0.09,Senddata * Factor + Offset,0,1,0,9,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_start_X,障碍物10起始坐标x轴,obstacle_start_x[10],cm,0.01,0,0.1,Senddata * Factor + Offset,0,1,0,10,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_start_X,障碍物11起始坐标x轴,obstacle_start_x[11],cm,0.01,0,0.11,Senddata * Factor + Offset,0,1,0,11,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_start_X,障碍物12起始坐标x轴,obstacle_start_x[12],cm,0.01,0,0.12,Senddata * Factor + Offset,0,1,0,12,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_start_X,障碍物13起始坐标x轴,obstacle_start_x[13],cm,0.01,0,0.13,Senddata * Factor + Offset,0,1,0,13,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_start_X,障碍物14起始坐标x轴,obstacle_start_x[14],cm,0.01,0,0.14,Senddata * Factor + Offset,0,1,0,14,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_start_X,障碍物15起始坐标x轴,obstacle_start_x[15],cm,0.01,0,0.15,Senddata * Factor + Offset,0,1,0,15,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_start_X,障碍物16起始坐标x轴,obstacle_start_x[16],cm,0.01,0,0.16,Senddata * Factor + Offset,0,1,0,16,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_start_X,障碍物17起始坐标x轴,obstacle_start_x[17],cm,0.01,0,0.17,Senddata * Factor + Offset,0,1,0,17,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_start_X,障碍物18起始坐标x轴,obstacle_start_x[18],cm,0.01,0,0.18,Senddata * Factor + Offset,0,1,0,18,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_start_X,障碍物19起始坐标x轴,obstacle_start_x[19],cm,0.01,0,0.19,Senddata * Factor + Offset,0,1,0,19,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_start_Y,障碍物0起始坐标y轴 ,obstacle_start_y[0],cm,0.01,0,0.2,Senddata * Factor + Offset,0,1,0,20,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_start_Y,障碍物1起始坐标y轴 ,obstacle_start_y[1],cm,0.01,0,0.21,Senddata * Factor + Offset,0,1,0,21,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_start_Y,障碍物2起始坐标y轴 ,obstacle_start_y[2],cm,0.01,0,0.22,Senddata * Factor + Offset,0,1,0,22,,
UltrasonicObstacleReport,uss_obstacle_data[3].obj_start_Y,障碍物3起始坐标y轴 ,obstacle_start_y[3],cm,0.01,0,0.23,Senddata * Factor + Offset,0,1,0,23,,
UltrasonicObstacleReport,uss_obstacle_data[4].obj_start_Y,障碍物4起始坐标y轴 ,obstacle_start_y[4],cm,0.01,0,0.24,Senddata * Factor + Offset,0,1,0,24,,
UltrasonicObstacleReport,uss_obstacle_data[5].obj_start_Y,障碍物5起始坐标y轴 ,obstacle_start_y[5],cm,0.01,0,0.25,Senddata * Factor + Offset,0,1,0,25,,
UltrasonicObstacleReport,uss_obstacle_data[6].obj_start_Y,障碍物6起始坐标y轴 ,obstacle_start_y[6],cm,0.01,0,0.26,Senddata * Factor + Offset,0,1,0,26,,
UltrasonicObstacleReport,uss_obstacle_data[7].obj_start_Y,障碍物7起始坐标y轴 ,obstacle_start_y[7],cm,0.01,0,0.27,Senddata * Factor + Offset,0,1,0,27,,
UltrasonicObstacleReport,uss_obstacle_data[8].obj_start_Y,障碍物8起始坐标y轴 ,obstacle_start_y[8],cm,0.01,0,0.28,Senddata * Factor + Offset,0,1,0,28,,
UltrasonicObstacleReport,uss_obstacle_data[9].obj_start_Y,障碍物9起始坐标y轴 ,obstacle_start_y[9],cm,0.01,0,0.29,Senddata * Factor + Offset,0,1,0,29,,
UltrasonicObstacleReport,uss_obstacle_data[10].obj_start_Y,障碍物10起始坐标y轴,obstacle_start_y[10],cm,0.01,0,0.3,Senddata * Factor + Offset,0,1,0,30,,
UltrasonicObstacleReport,uss_obstacle_data[11].obj_start_Y,障碍物11起始坐标y轴,obstacle_start_y[11],cm,0.01,0,0.31,Senddata * Factor + Offset,0,1,0,31,,
UltrasonicObstacleReport,uss_obstacle_data[12].obj_start_Y,障碍物12起始坐标y轴,obstacle_start_y[12],cm,0.01,0,0.32,Senddata * Factor + Offset,0,1,0,32,,
UltrasonicObstacleReport,uss_obstacle_data[13].obj_start_Y,障碍物13起始坐标y轴,obstacle_start_y[13],cm,0.01,0,0.33,Senddata * Factor + Offset,0,1,0,33,,
UltrasonicObstacleReport,uss_obstacle_data[14].obj_start_Y,障碍物14起始坐标y轴,obstacle_start_y[14],cm,0.01,0,0.34,Senddata * Factor + Offset,0,1,0,34,,
UltrasonicObstacleReport,uss_obstacle_data[15].obj_start_Y,障碍物15起始坐标y轴,obstacle_start_y[15],cm,0.01,0,0.35,Senddata * Factor + Offset,0,1,0,35,,
UltrasonicObstacleReport,uss_obstacle_data[16].obj_start_Y,障碍物16起始坐标y轴,obstacle_start_y[16],cm,0.01,0,0.36,Senddata * Factor + Offset,0,1,0,36,,
UltrasonicObstacleReport,uss_obstacle_data[17].obj_start_Y,障碍物17起始坐标y轴,obstacle_start_y[17],cm,0.01,0,0.37,Senddata * Factor + Offset,0,1,0,37,,
UltrasonicObstacleReport,uss_obstacle_data[18].obj_start_Y,障碍物18起始坐标y轴,obstacle_start_y[18],cm,0.01,0,0.38,Senddata * Factor + Offset,0,1,0,38,,
UltrasonicObstacleReport,uss_obstacle_data[19].obj_start_Y,障碍物19起始坐标y轴,obstacle_start_y[19],cm,0.01,0,0.39,Senddata * Factor + Offset,0,1,0,39,,
UltrasonicObstacleReport,uss_obstacle_data[0].obj_end_X,障碍物0结束坐标x轴 ,obstacle_end_x[0],cm,0.01,0,0.4,Senddata * Factor + Offset,0,1,0,40,,
UltrasonicObstacleReport,uss_obstacle_data[1].obj_end_X,障碍物1结束坐标x轴 ,obstacle_end_x[1],cm,0.01,0,0.41,Senddata * Factor + Offset,0,1,0,41,,
UltrasonicObstacleReport,uss_obstacle_data[2].obj_end_X,障碍物2结束坐标x轴 ,obstacle_end_x[2],cm,0.01,0,0.42,Senddata * Factor + Offset,0,1,0,42,,
